Country,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,CO2 Megatons
Canada,4.2605972513659225,4.05486391736258,0.49524653923337414,0.866210253404941,3.416514826404642,0.5357989175991988,517.6567233999792
Mexico,2.464799096018521,3.1065629291501726,0.20884674463499225,0.10142153048362917,0.23835524181263995,0.3558815231059715,373.2159143524887
US,32.54030692546001,29.952700042615085,9.20277684698986,7.385018006685286,2.563917695551433,6.149877871917506,4457.219799872629
Argentina,1.0347996882315504,1.5814749450906587,0.03189681431452715,0.09469973276786085,0.2712769657690634,0.13445365789344732,164.13306225102215
Brazil,4.60679019954618,1.1562541146893626,0.5789682591013453,0.13585162181067176,3.524218514285714,2.005916377439578,417.51062863047724
Chile,0.6930262018919959,0.22039214152869158,0.3004914095167834,0.0,0.18347080281709077,0.2094179569197148,87.72729319873662
Colombia,0.552612308620903,0.5013338177953933,0.2681321551244719,0.0,0.3907331030820835,0.05455471397926663,92.68886413420971
Ecuador,0.3976592412034219,0.019649377780794557,0.0,0.0,0.21998023255249707,0.007876542419860005,30.694497232619916
Peru,0.4037810705569544,0.253809434527002,0.023190115896750223,0.0,0.27095196734693877,0.045302239924485205,44.55651761584167
Trinidad & Tobago,0.07931258372294313,0.5443694939941895,0.0,0.0,0.0,4.148610612244899e-05,18.573249928588545
Venezuela,0.4847694261438853,0.6750522034768476,0.00054594830299573,0.0,0.28106586132555816,0.00011165539529902324,88.47122169767218
Austria,0.4798655955728751,0.30699068520492,0.09328211922,0.0,0.36373625009895705,0.13982100580688742,55.27494725762939
Belgium,0.930792256925195,0.61193448,0.10757010435175071,0.30513513760557465,0.002503969341330882,0.23290352902355554,88.79432442670598
Czech Republic,0.3711608062282431,0.3046455,0.48907709128711135,0.26683355428571426,0.019027121632653063,0.08683793224489797,85.12409406411687
Finland,0.3537972354243114,0.07047400000000002,0.13271532484349224,0.20902688721804505,0.14002477015048445,0.1902569332981573,39.02092424281467
France,2.6778959178176405,1.4638422254173098,0.19361888290803667,3.14261354527347,0.5444726804897958,0.6815825131275439,251.0828485014964
Germany,4.208902744161044,3.115638834951457,1.8439999999999999,0.5717284571428571,0.16549146122448977,2.205269793179159,604.8754564828467
Greece,0.5120625132420074,0.20528316000000002,0.11452775746349518,0.0,0.030550645879748633,0.1378847195926901,58.24543090067069
Hungary,0.32799528763722585,0.36640800000000007,0.07194835617793108,0.14260349387755103,0.0021671183673469385,0.05685138655462185,45.739548658542276
Italy,2.1335210870208394,2.4358198614855304,0.2067069349513553,0.0,0.4147434736899985,0.6721606020048778,287.15684142860067
Netherlands,1.5149154751552125,1.3160999999999998,0.17959999999999998,0.03627349036902372,0.0004118235428571429,0.3252554076140487,175.86631062417482
Norway,0.37399520357124505,0.15955042670199002,0.03265379929927962,0.0,1.252064127158978,0.11151376549493112,32.00920773616728
Poland,1.2822902830311897,0.776059872,1.669375949297386,0.0,0.018784653061224493,0.2664236395755102,279.6034501340809
Portugal,0.41095277334015407,0.2157804589118842,0.024200681616711725,0.0,0.11047862857142858,0.17114723566386533,41.283398571523
Romania,0.4383302339202511,0.4074278314357702,0.15232270702932943,0.1018368,0.13400061696351215,0.09718592890947053,66.28393554861935
Spain,2.205669098115437,1.1668832934010382,0.07279555802785899,0.5169705792119011,0.2442061824407453,0.7657331587986163,220.40427800387164
Sweden,0.5450533810038944,0.03808193755200119,0.07484440991749886,0.47810403677491287,0.6514094535803852,0.4119220810456486,45.42553013718188
Switzerland,0.36939444435211455,0.11631011784550001,0.00381,0.20418873469387752,0.3347839858418367,0.04942790031761242,32.41090713994113
Turkey,1.8218278471856553,1.6691926727896198,1.6586748314919877,0.0,0.6933306768743865,0.4466656041473266,369.5218692675353
Ukraine,0.4519047409494277,1.0561946902654868,0.9839276788422073,0.6768026122448978,0.05570992743402219,0.08935847323413965,177.40884929210947
United Kingdom,2.385954273811118,2.609836903866459,0.19356888572941436,0.4465533910204082,0.05754232163265306,1.2010743561497024,319.37988430344035
Azerbaijan,0.1820594349198914,0.42817265971199997,2.5800000000000004e-05,0.0,0.009485583673469387,0.002136195685731265,34.12588974536775
Belarus,0.2756455592869972,0.6431419503723118,0.05547247276902537,0.0,0.0031382439269995203,0.004724819665511057,54.6394444414723
Kazakhstan,0.7521598848594162,0.5981953309379242,1.6357290882677569,0.0,0.08700403800593239,0.03297656272999277,241.01922872292462
Russian Federation,6.388477935038459,14.810011003346652,3.273941504975147,1.917671319510204,1.8867986755918367,0.037694789355102044,1482.1884744686765
Turkmenistan,0.27657491328913886,1.1268000000000002,0.0,0.0,2.8012669387755104e-05,6.181616326530612e-05,86.21269023838957
